plate_location,source_well,destination_well,spotting_volume,agar_plate_weight
1,A1,A1,5,33
1,B1,B1,5,33
1,C1,C1,5,33
1,D1,D1,5,33
1,E1,E1,5,33
1,F1,F1,5,33
1,G1,G1,5,33
1,H1,H1,5,33
1,A2,A2,5,33
1,B2,B2,5,33
1,C2,C2,5,33
1,D2,D2,5,33
1,E2,E2,5,33
1,F2,F2,5,33
1,G2,G2,5,33
1,H2,H2,5,33
1,A3,A3,5,33
1,B3,B3,5,33
1,C3,C3,5,33
1,D3,D3,5,33
1,E3,E3,5,33
1,F3,F3,5,33
1,G3,G3,5,33
1,H3,H3,5,33
1,A4,A4,5,33
1,B4,B4,5,33
1,C4,C4,5,33
1,D4,D4,5,33
1,E4,E4,5,33
1,F4,F4,5,33
1,G4,G4,5,33
1,H4,H4,5,33
1,A5,A5,5,33
1,B5,B5,5,33
1,C5,C5,5,33
1,D5,D5,5,33
1,E5,E5,5,33
1,F5,F5,5,33
1,G5,G5,5,33
1,H5,H5,5,33
1,A6,A6,5,33
1,B6,B6,5,33
1,C6,C6,5,33
1,D6,D6,5,33
1,E6,E6,5,33
1,F6,F6,5,33
1,G6,G6,5,33
1,H6,H6,5,33
1,A7,A7,5,33
1,B7,B7,5,33
1,C7,C7,5,33
1,D7,D7,5,33
1,E7,E7,5,33
1,F7,F7,5,33
1,G7,G7,5,33
1,H7,H7,5,33
1,A8,A8,5,33
1,B8,B8,5,33
1,C8,C8,5,33
1,D8,D8,5,33
1,E8,E8,5,33
1,F8,F8,5,33
1,G8,G8,5,33
1,H8,H8,5,33
1,A9,A9,5,33
1,B9,B9,5,33
1,C9,C9,5,33
1,D9,D9,5,33
1,E9,E9,5,33
1,F9,F9,5,33
1,G9,G9,5,33
1,H9,H9,5,33
1,A10,A10,5,33
1,B10,B10,5,33
1,C10,C10,5,33
1,D10,D10,5,33
1,E10,E10,5,33
1,F10,F10,5,33
1,G10,G10,5,33
1,H10,H10,5,33
1,A11,A11,5,33
1,B11,B11,5,33
1,C11,C11,5,33
1,D11,D11,5,33
1,E11,E11,5,33
1,F11,F11,5,33
1,G11,G11,5,33
1,H11,H11,5,33
1,A12,A12,5,33
1,B12,B12,5,33
1,C12,C12,5,33
1,D12,D12,5,33
1,E12,E12,5,33
1,F12,F12,5,33
1,G12,G12,5,33
1,H12,H12,5,33
