protocol,location,labware,well_name,reactant,volume
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,A1,pUC19,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,B1,pUC19,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,C1,pUC19,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,D1,pUC19,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,E1,pJKR,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,F1,pJKR,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,G1,pJKR,20
transformation,1,armadillo_96_wellplate_200ul_pcr_full_skirt,H1,pJKR,20
transformation,4,usascientific_96_wellplate_2.4ml_deep,A1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,B1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,C1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,D1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,E1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,F1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,G1,cells,300
transformation,4,usascientific_96_wellplate_2.4ml_deep,H1,cells,300
transformation,5,usascientific_96_wellplate_2.4ml_deep,A1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,B1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,C1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,D1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,E1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,F1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,G1,SOC,1500
transformation,5,usascientific_96_wellplate_2.4ml_deep,H1,SOC,1500
