dna_id,dna_source_well,dna_volume,cells_id,cells_source_well,cells_volume,media_id,media_source_well,media_volume,transformation_well
pEX01,A1,1,BL21,A1,10,SOC,A2,50,A1
pEX01,B1,1,BL21,A1,10,SOC,A2,50,B1
pEX01,C1,1,BL21,A1,10,SOC,A2,50,C1
pEX01,D1,1,BL21,A1,10,SOC,A2,50,D1
pEX01,E1,1,BL21,A1,10,SOC,A2,50,E1
pEX01,F1,1,BL21,A1,10,SOC,A2,50,F1
pEX01,G1,1,BL21,A1,10,SOC,A2,50,G1
pEX01,H1,1,BL21,A1,10,SOC,A2,50,H1
pEX02,A2,1,BL21,A1,10,SOC,A2,50,A2
pEX02,B2,1,BL21,A1,10,SOC,A2,50,B2
pEX02,C2,1,BL21,A1,10,SOC,A2,50,C2
pEX02,D2,1,BL21,A1,10,SOC,A2,50,D2
pEX02,E2,1,BL21,A1,10,SOC,A2,50,E2
pEX02,F2,1,BL21,A1,10,SOC,A2,50,F2
pEX02,G2,1,BL21,A1,10,SOC,A2,50,G2
pEX02,H2,1,BL21,A1,10,SOC,A2,50,H2
pEX03,A3,1,BL21,A1,10,SOC,A2,50,A3
pEX03,B3,1,BL21,A1,10,SOC,A2,50,B3
pEX03,C3,1,BL21,A1,10,SOC,A2,50,C3
pEX03,D3,1,BL21,A1,10,SOC,A2,50,D3
pEX03,E3,1,BL21,A1,10,SOC,A2,50,E3
pEX03,F3,1,BL21,A1,10,SOC,A2,50,F3
pEX03,G3,1,BL21,A1,10,SOC,A2,50,G3
pEX03,H3,1,BL21,A1,10,SOC,A2,50,H3
pEX04,A4,1,BL21,A1,10,SOC,A2,50,A4
pEX04,B4,1,BL21,A1,10,SOC,A2,50,B4
pEX04,C4,1,BL21,A1,10,SOC,A2,50,C4
pEX04,D4,1,BL21,A1,10,SOC,A2,50,D4
pEX04,E4,1,BL21,A1,10,SOC,A2,50,E4
pEX04,F4,1,BL21,A1,10,SOC,A2,50,F4
pEX04,G4,1,BL21,A1,10,SOC,A2,50,G4
pEX04,H4,1,BL21,A1,10,SOC,A2,50,H4
pEX05,A5,1,BL21,A1,10,SOC,A2,50,A5
pEX05,B5,1,BL21,A1,10,SOC,A2,50,B5
pEX05,C5,1,BL21,A1,10,SOC,A2,50,C5
pEX05,D5,1,BL21,A1,10,SOC,A2,50,D5
pEX05,E5,1,BL21,A1,10,SOC,A2,50,E5
pEX05,F5,1,BL21,A1,10,SOC,A2,50,F5
pEX05,G5,1,BL21,A1,10,SOC,A2,50,G5
pEX05,H5,1,BL21,A1,10,SOC,A2,50,H5
pEX06,A6,1,BL21,A1,10,SOC,A2,50,A6
pEX06,B6,1,BL21,A1,10,SOC,A2,50,B6
pEX06,C6,1,BL21,A1,10,SOC,A2,50,C6
pEX06,D6,1,BL21,A1,10,SOC,A2,50,D6
pEX06,E6,1,BL21,A1,10,SOC,A2,50,E6
pEX06,F6,1,BL21,A1,10,SOC,A2,50,F6
pEX06,G6,1,BL21,A1,10,SOC,A2,50,G6
pEX06,H6,1,BL21,A1,10,SOC,A2,50,H6
pEX07,A7,1,BL21,A1,10,SOC,A2,50,A7
pEX07,B7,1,BL21,A1,10,SOC,A2,50,B7
pEX07,C7,1,BL21,A1,10,SOC,A2,50,C7
pEX07,D7,1,BL21,A1,10,SOC,A2,50,D7
pEX07,E7,1,BL21,A1,10,SOC,A2,50,E7
pEX07,F7,1,BL21,A1,10,SOC,A2,50,F7
pEX07,G7,1,BL21,A1,10,SOC,A2,50,G7
pEX07,H7,1,BL21,A1,10,SOC,A2,50,H7
pEX08,A8,1,BL21,A1,10,SOC,A2,50,A8
pEX08,B8,1,BL21,A1,10,SOC,A2,50,B8
pEX08,C8,1,BL21,A1,10,SOC,A2,50,C8
pEX08,D8,1,BL21,A1,10,SOC,A2,50,D8
pEX08,E8,1,BL21,A1,10,SOC,A2,50,E8
pEX08,F8,1,BL21,A1,10,SOC,A2,50,F8
pEX08,G8,1,BL21,A1,10,SOC,A2,50,G8
pEX08,H8,1,BL21,A1,10,SOC,A2,50,H8
pEX09,A9,1,BL21,A1,10,SOC,A2,50,A9
pEX09,B9,1,BL21,A1,10,SOC,A2,50,B9
pEX09,C9,1,BL21,A1,10,SOC,A2,50,C9
pEX09,D9,1,BL21,A1,10,SOC,A2,50,D9
pEX09,E9,1,BL21,A1,10,SOC,A2,50,E9
pEX09,F9,1,BL21,A1,10,SOC,A2,50,F9
pEX09,G9,1,BL21,A1,10,SOC,A2,50,G9
pEX09,H9,1,BL21,A1,10,SOC,A2,50,H9
pEX10,A10,1,BL21,A1,10,SOC,A2,50,A10
pEX10,B10,1,BL21,A1,10,SOC,A2,50,B10
pEX10,C10,1,BL21,A1,10,SOC,A2,50,C10
pEX10,D10,1,BL21,A1,10,SOC,A2,50,D10
pEX10,E10,1,BL21,A1,10,SOC,A2,50,E10
pEX10,F10,1,BL21,A1,10,SOC,A2,50,F10
pEX10,G10,1,BL21,A1,10,SOC,A2,50,G10
pEX10,H10,1,BL21,A1,10,SOC,A2,50,H10
pEX11,A11,1,BL21,A1,10,SOC,A2,50,A11
pEX11,B11,1,BL21,A1,10,SOC,A2,50,B11
pEX11,C11,1,BL21,A1,10,SOC,A2,50,C11
pEX11,D11,1,BL21,A1,10,SOC,A2,50,D11
pEX11,E11,1,BL21,A1,10,SOC,A2,50,E11
pEX11,F11,1,BL21,A1,10,SOC,A2,50,F11
pEX11,G11,1,BL21,A1,10,SOC,A2,50,G11
pEX11,H11,1,BL21,A1,10,SOC,A2,50,H11
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,A12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,B12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,C12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,D12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,E12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,F12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,G12
neg-ctrl,NA,0,BL21,A1,10,SOC,A2,50,H12
