sample_id,water_source_well,water_volume,mastermix_source_well,mastermix_volume,destination_well
sample_1,A1,11.5,A2,13.5,A1
sample_2,B1,11.5,B2,13.5,B1
sample_3,C1,11.5,C2,13.5,C1
sample_4,D1,11.5,D2,13.5,D1
sample_5,E1,11.5,E2,13.5,E1
sample_6,F1,11.5,F2,13.5,F1
sample_7,G1,11.5,G2,13.5,G1
sample_8,H1,11.5,H2,13.5,H1
sample_9,A1,11.5,A2,13.5,A2
sample_10,B1,11.5,B2,13.5,B2
sample_11,C1,11.5,C2,13.5,C2
sample_12,D1,11.5,D2,13.5,D2
sample_13,E1,11.5,E2,13.5,E2
sample_14,F1,11.5,F2,13.5,F2
sample_15,G1,11.5,G2,13.5,G2
sample_16,H1,11.5,H2,13.5,H2
sample_17,A1,11.5,A2,13.5,A3
sample_18,B1,11.5,B2,13.5,B3
sample_19,C1,11.5,C2,13.5,C3
sample_20,D1,11.5,D2,13.5,D3
sample_21,E1,11.5,E2,13.5,E3
sample_22,F1,11.5,F2,13.5,F3
sample_23,G1,11.5,G2,13.5,G3
sample_24,H1,11.5,H2,13.5,H3
sample_25,A1,11.5,A2,13.5,A4
sample_26,B1,11.5,B2,13.5,B4
sample_27,C1,11.5,C2,13.5,C4
sample_28,D1,11.5,D2,13.5,D4
sample_29,E1,11.5,E2,13.5,E4
sample_30,F1,11.5,F2,13.5,F4
sample_31,G1,11.5,G2,13.5,G4
sample_32,H1,11.5,H2,13.5,H4
sample_33,A1,11.5,A2,13.5,A5
sample_34,B1,11.5,B2,13.5,B5
sample_35,C1,11.5,C2,13.5,C5
sample_36,D1,11.5,D2,13.5,D5
sample_37,E1,11.5,E2,13.5,E5
sample_38,F1,11.5,F2,13.5,F5
sample_39,G1,11.5,G2,13.5,G5
sample_40,H1,11.5,H2,13.5,H5
sample_41,A1,11.5,A2,13.5,A6
sample_42,B1,11.5,B2,13.5,B6
sample_43,C1,11.5,C2,13.5,C6
sample_44,D1,11.5,D2,13.5,D6
sample_45,E1,11.5,E2,13.5,E6
sample_46,F1,11.5,F2,13.5,F6
sample_47,G1,11.5,G2,13.5,G6
sample_48,H1,11.5,H2,13.5,H6
sample_49,A1,11.5,A2,13.5,A7
sample_50,B1,11.5,B2,13.5,B7
sample_51,C1,11.5,C2,13.5,C7
sample_52,D1,11.5,D2,13.5,D7
sample_53,E1,11.5,E2,13.5,E7
sample_54,F1,11.5,F2,13.5,F7
sample_55,G1,11.5,G2,13.5,G7
sample_56,H1,11.5,H2,13.5,H7
sample_57,A1,11.5,A2,13.5,A8
sample_58,B1,11.5,B2,13.5,B8
sample_59,C1,11.5,C2,13.5,C8
sample_60,D1,11.5,D2,13.5,D8
sample_61,E1,11.5,E2,13.5,E8
sample_62,F1,11.5,F2,13.5,F8
sample_63,G1,11.5,G2,13.5,G8
sample_64,H1,11.5,H2,13.5,H8
sample_65,A1,11.5,A2,13.5,A9
sample_66,B1,11.5,B2,13.5,B9
sample_67,C1,11.5,C2,13.5,C9
sample_68,D1,11.5,D2,13.5,D9
sample_69,E1,11.5,E2,13.5,E9
sample_70,F1,11.5,F2,13.5,F9
sample_71,G1,11.5,G2,13.5,G9
sample_72,H1,11.5,H2,13.5,H9
sample_73,A1,11.5,A2,13.5,A10
sample_74,B1,11.5,B2,13.5,B10
sample_75,C1,11.5,C2,13.5,C10
sample_76,D1,11.5,D2,13.5,D10
sample_77,E1,11.5,E2,13.5,E10
sample_78,F1,11.5,F2,13.5,F10
sample_79,G1,11.5,G2,13.5,G10
sample_80,H1,11.5,H2,13.5,H10
sample_81,A1,11.5,A2,13.5,A11
sample_82,B1,11.5,B2,13.5,B11
sample_83,C1,11.5,C2,13.5,C11
sample_84,D1,11.5,D2,13.5,D11
sample_85,E1,11.5,E2,13.5,E11
sample_86,F1,11.5,F2,13.5,F11
sample_87,G1,11.5,G2,13.5,G11
sample_88,H1,11.5,H2,13.5,H11
sample_89,A1,11.5,A2,13.5,A12
sample_90,B1,11.5,B2,13.5,B12
sample_91,C1,11.5,C2,13.5,C12
sample_92,D1,11.5,D2,13.5,D12
sample_93,E1,11.5,E2,13.5,E12
sample_94,F1,11.5,F2,13.5,F12
sample_95,G1,11.5,G2,13.5,G12
sample_96,H1,11.5,H2,13.5,H12
