diluent_id,diluent_source_well,diluent_volume,culture_id,culture_source_well,culture_volume,destination_well
water,A1,90,sample_1,A1,10,A1
water,A1,90,sample_2,B1,10,B1
water,A1,90,sample_3,C1,10,C1
water,A1,90,sample_4,D1,10,D1
water,A1,90,sample_5,E1,10,E1
water,A1,90,sample_6,F1,10,F1
water,A1,90,sample_7,G1,10,G1
water,A1,90,sample_8,H1,10,H1
water,A1,90,sample_9,A2,10,A2
water,A1,90,sample_10,B2,10,B2
water,A1,90,sample_11,C2,10,C2
water,A1,90,sample_12,D2,10,D2
water,A1,90,sample_13,E2,10,E2
water,A1,90,sample_14,F2,10,F2
water,A1,90,sample_15,G2,10,G2
water,A1,90,sample_16,H2,10,H2
water,A1,90,sample_17,A3,10,A3
water,A1,90,sample_18,B3,10,B3
water,A1,90,sample_19,C3,10,C3
water,A1,90,sample_20,D3,10,D3
water,A1,90,sample_21,E3,10,E3
water,A1,90,sample_22,F3,10,F3
water,A1,90,sample_23,G3,10,G3
water,A1,90,sample_24,H3,10,H3
water,A1,90,sample_25,A4,10,A4
water,A1,90,sample_26,B4,10,B4
water,A1,90,sample_27,C4,10,C4
water,A1,90,sample_28,D4,10,D4
water,A1,90,sample_29,E4,10,E4
water,A1,90,sample_30,F4,10,F4
water,A1,90,sample_31,G4,10,G4
water,A1,90,sample_32,H4,10,H4
water,A1,90,sample_33,A5,10,A5
water,A1,90,sample_34,B5,10,B5
water,A1,90,sample_35,C5,10,C5
water,A1,90,sample_36,D5,10,D5
water,A1,90,sample_37,E5,10,E5
water,A1,90,sample_38,F5,10,F5
water,A1,90,sample_39,G5,10,G5
water,A1,90,sample_40,H5,10,H5
water,A1,90,sample_41,A6,10,A6
water,A1,90,sample_42,B6,10,B6
water,A1,90,sample_43,C6,10,C6
water,A1,90,sample_44,D6,10,D6
water,A1,90,sample_45,E6,10,E6
water,A1,90,sample_46,F6,10,F6
water,A1,90,sample_47,G6,10,G6
water,A1,90,sample_48,H6,10,H6
water,A1,90,sample_49,A7,10,A7
water,A1,90,sample_50,B7,10,B7
water,A1,90,sample_51,C7,10,C7
water,A1,90,sample_52,D7,10,D7
water,A1,90,sample_53,E7,10,E7
water,A1,90,sample_54,F7,10,F7
water,A1,90,sample_55,G7,10,G7
water,A1,90,sample_56,H7,10,H7
water,A1,90,sample_57,A8,10,A8
water,A1,90,sample_58,B8,10,B8
water,A1,90,sample_59,C8,10,C8
water,A1,90,sample_60,D8,10,D8
water,A1,90,sample_61,E8,10,E8
water,A1,90,sample_62,F8,10,F8
water,A1,90,sample_63,G8,10,G8
water,A1,90,sample_64,H8,10,H8
water,A1,90,sample_65,A9,10,A9
water,A1,90,sample_66,B9,10,B9
water,A1,90,sample_67,C9,10,C9
water,A1,90,sample_68,D9,10,D9
water,A1,90,sample_69,E9,10,E9
water,A1,90,sample_70,F9,10,F9
water,A1,90,sample_71,G9,10,G9
water,A1,90,sample_72,H9,10,H9
water,A1,90,sample_73,A10,10,A10
water,A1,90,sample_74,B10,10,B10
water,A1,90,sample_75,C10,10,C10
water,A1,90,sample_76,D10,10,D10
water,A1,90,sample_77,E10,10,E10
water,A1,90,sample_78,F10,10,F10
water,A1,90,sample_79,G10,10,G10
water,A1,90,sample_80,H10,10,H10
water,A1,90,sample_81,A11,10,A11
water,A1,90,sample_82,B11,10,B11
water,A1,90,sample_83,C11,10,C11
water,A1,90,sample_84,D11,10,D11
water,A1,90,sample_85,E11,10,E11
water,A1,90,sample_86,F11,10,F11
water,A1,90,sample_87,G11,10,G11
water,A1,90,sample_88,H11,10,H11
water,A1,90,sample_89,A12,10,A12
water,A1,90,sample_90,B12,10,B12
water,A1,90,sample_91,C12,10,C12
water,A1,90,sample_92,D12,10,D12
water,A1,90,sample_93,E12,10,E12
water,A1,90,sample_94,F12,10,F12
water,A1,90,sample_95,G12,10,G12
water,A1,90,sample_96,H12,10,H12
