ID,location,labware,well_name,volume
water,1,armadillo_96_wellplate_200ul_pcr_full_skirt,A1,3
pUC19,1,armadillo_96_wellplate_200ul_pcr_full_skirt,B1,3
pJKR,1,armadillo_96_wellplate_200ul_pcr_full_skirt,C1,3
pJKR,1,armadillo_96_wellplate_200ul_pcr_full_skirt,D1,3
pJKR,1,armadillo_96_wellplate_200ul_pcr_full_skirt,E1,3
pJKR,1,armadillo_96_wellplate_200ul_pcr_full_skirt,F1,3
pJKR,1,armadillo_96_wellplate_200ul_pcr_full_skirt,G1,3
pJKR,1,armadillo_96_wellplate_200ul_pcr_full_skirt,H1,3
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,A2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,B2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,C2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,D2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,E2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,F2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,G2,30
BL21(DE3),1,armadillo_96_wellplate_200ul_pcr_full_skirt,H2,30
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,A3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,B3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,C3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,D3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,E3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,F3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,G3,150
SOC,1,armadillo_96_wellplate_200ul_pcr_full_skirt,H3,150
water/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,A1,183
pUC19/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,B1,183
pJKR/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,C1,183
pJKR/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,D1,183
pJKR/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,E1,183
pJKR/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,F1,183
pJKR/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,G1,183
pJKR/BL21(DE3)/SOC,thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,H1,183
