ID,location,labware,well_name,volume
water-BL21,1,nunc96grid_96_wellplate_10ul,A1,0
pUC19-BL21,1,nunc96grid_96_wellplate_10ul,B1,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,C1,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,D1,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,E1,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,F1,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,G1,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,H1,0
water-BL21,1,nunc96grid_96_wellplate_10ul,A2,0
pUC19-BL21,1,nunc96grid_96_wellplate_10ul,B2,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,C2,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,D2,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,E2,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,F2,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,G2,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,H2,0
water-BL21,1,nunc96grid_96_wellplate_10ul,A3,0
pUC19-BL21,1,nunc96grid_96_wellplate_10ul,B3,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,C3,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,D3,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,E3,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,F3,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,G3,0
pJKR-BL21,1,nunc96grid_96_wellplate_10ul,H3,0
water-BL21,2,usascientific_96_wellplate_2.4ml_deep,A1,1500
pUC19-BL21,2,usascientific_96_wellplate_2.4ml_deep,B1,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,C1,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,D1,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,E1,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,F1,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,G1,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,H1,1500
water-BL21,2,usascientific_96_wellplate_2.4ml_deep,A2,1500
pUC19-BL21,2,usascientific_96_wellplate_2.4ml_deep,B2,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,C2,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,D2,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,E2,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,F2,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,G2,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,H2,1500
water-BL21,2,usascientific_96_wellplate_2.4ml_deep,A3,1500
pUC19-BL21,2,usascientific_96_wellplate_2.4ml_deep,B3,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,C3,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,D3,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,E3,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,F3,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,G3,1500
pJKR-BL21,2,usascientific_96_wellplate_2.4ml_deep,H3,1500
