ID,location,labware,well_name,volume
water-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,A1,15
pUC19-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,B1,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,C1,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,D1,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,E1,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,F1,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,G1,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,H1,15
water-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,A2,15
pUC19-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,B2,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,C2,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,D2,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,E2,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,F2,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,G2,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,H2,15
water-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,A3,15
pUC19-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,B3,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,C3,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,D3,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,E3,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,F3,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,G3,15
pJKR-BL21(DE3),3,usascientific_96_wellplate_2.4ml_deep,H3,15
water-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,A4,1515
pUC19-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,B4,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,C4,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,D4,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,E4,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,F4,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,G4,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,H4,1515
water-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,A5,1515
pUC19-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,B5,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,C5,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,D5,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,E5,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,F5,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,G5,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,H5,1515
water-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,A6,1515
pUC19-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,B6,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,C6,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,D6,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,E6,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,F6,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,G6,1515
pJKR-BL21(DE3)-fresh-LB,3,usascientific_96_wellplate_2.4ml_deep,H6,1515
