ID,blank_well,blank_volume,culture_well,culture_volume,inducer_well,inducer_volume,destination_well
LB+carbenicillin,A7,150,NA,0,NA,0,A1
LB+carbenicillin,B7,150,NA,0,NA,0,B1
LB+carbenicillin,C7,150,NA,0,NA,0,C1
BL21(DE3),NA,0,A6,150,NA,0,A2
BL21(DE3),NA,0,B6,150,NA,0,B2
BL21(DE3),NA,0,C6,150,NA,0,C2
BL21(DE3),NA,0,D6,150,NA,0,D2
BL21(DE3),NA,0,E6,150,NA,0,E2
BL21(DE3),NA,0,F6,150,NA,0,F2
BL21(DE3),NA,0,G6,150,NA,0,G2
BL21(DE3),NA,0,H6,150,NA,0,H2
BL21(DE3),NA,0,A6,150,NA,0,A3
BL21(DE3),NA,0,B6,150,NA,0,B3
BL21(DE3),NA,0,C6,150,NA,0,C3
BL21(DE3),NA,0,D6,150,NA,0,D3
BL21(DE3),NA,0,E6,150,NA,0,E3
BL21(DE3),NA,0,F6,150,NA,0,F3
BL21(DE3),NA,0,G6,150,NA,0,G3
BL21(DE3),NA,0,H6,150,NA,0,H3
BL21(DE3),NA,0,A6,150,NA,0,A4
BL21(DE3),NA,0,B6,150,NA,0,B4
BL21(DE3),NA,0,C6,150,NA,0,C4
BL21(DE3),NA,0,D6,150,NA,0,D4
BL21(DE3),NA,0,E6,150,NA,0,E4
BL21(DE3),NA,0,F6,150,NA,0,F4
BL21(DE3),NA,0,G6,150,NA,0,G4
BL21(DE3),NA,0,H6,150,NA,0,H4
arabinose,NA,0,A6,150,A8,3.68,A5
arabinose,NA,0,B6,150,B8,3.68,B5
arabinose,NA,0,C6,150,C8,3.68,C5
arabinose,NA,0,D6,150,D8,3.68,D5
arabinose,NA,0,E6,150,E8,3.68,E5
arabinose,NA,0,F6,150,F8,3.68,F5
arabinose,NA,0,G6,150,G8,3.68,G5
arabinose,NA,0,H6,150,H8,3.68,H5
arabinose,NA,0,A6,150,A8,3.68,A6
arabinose,NA,0,B6,150,B8,3.68,B6
arabinose,NA,0,C6,150,C8,3.68,C6
arabinose,NA,0,D6,150,D8,3.68,D6
arabinose,NA,0,E6,150,E8,3.68,E6
arabinose,NA,0,F6,150,F8,3.68,F6
arabinose,NA,0,G6,150,G8,3.68,G6
arabinose,NA,0,H6,150,H8,3.68,H6
arabinose,NA,0,A6,150,A8,3.68,A7
arabinose,NA,0,B6,150,B8,3.68,B7
arabinose,NA,0,C6,150,C8,3.68,C7
arabinose,NA,0,D6,150,D8,3.68,D7
arabinose,NA,0,E6,150,E8,3.68,E7
arabinose,NA,0,F6,150,F8,3.68,F7
arabinose,NA,0,G6,150,G8,3.68,G7
arabinose,NA,0,H6,150,H8,3.68,H7
