ID,location,source_well,destination_well,spotting_volume,agar_plate_weight
pUC19,1,A1,A1,5,76.32
pUC19,1,B1,B1,5,76.32
pUC19,1,C1,C1,5,76.32
pUC19,1,D1,D1,5,76.32
pUC19,1,E1,E1,5,76.32
pUC19,1,F1,F1,5,76.32
pUC19,1,G1,G1,5,76.32
pUC19,1,H1,H1,5,76.32
pJKR,1,A2,A2,5,76.32
pJKR,1,B2,B2,5,76.32
pJKR,1,C2,C2,5,76.32
pJKR,1,D2,D2,5,76.32
pJKR,1,E2,E2,5,76.32
pJKR,1,F2,F2,5,76.32
pJKR,1,G2,G2,5,76.32
pJKR,1,H2,H2,5,76.32
pUC19,2,A3,A3,5,77.02
pUC19,2,B3,B3,5,77.02
pUC19,2,C3,C3,5,77.02
pUC19,2,D3,D3,5,77.02
pUC19,2,E3,E3,5,77.02
pUC19,2,F3,F3,5,77.02
pUC19,2,G3,G3,5,77.02
pUC19,2,H3,H3,5,77.02
pJKR,2,A4,A4,5,77.02
pJKR,2,B4,B4,5,77.02
pJKR,2,C4,C4,5,77.02
pJKR,2,D4,D4,5,77.02
pJKR,2,E4,E4,5,77.02
pJKR,2,F4,F4,5,77.02
pJKR,2,G4,G4,5,77.02
pJKR,2,H4,H4,5,77.02
